Track,Artist,Year,Duration,Time_Signature,Key,Mode,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,6,1,11,132.015,0.6234817813765182,0.511463733740527,0.651746136956792,-15.894,0.02936842105263158,0.038553251559489514,0.0,0.13989426596177307,0.6107178968655207,40,Alt. Rock
Like the Weather,"10,000 Maniacs",1987,236653,4,1,1,12,133.351,0.7793522267206477,0.4594065906145176,0.6194539956087659,-17.453,0.043789473684210524,0.11244890808123303,0.003475177304964539,0.13481089873932492,0.9737108190091001,43,Alt. Rock
What's the Matter Here?,"10,000 Maniacs",1987,291173,4,9,1,8,99.978,0.6002024291497975,0.8167989001526975,0.8299018186337462,-7.293,0.0431578947368421,0.00450703263758297,3.2117527862208714e-05,0.07848718991459942,0.5247724974721941,12,Alt. Rock
Trouble Me,"10,000 Maniacs",1989,193560,4,2,1,7,117.913,0.8714574898785425,0.3853252715505811,0.7726500683541158,-10.057,0.03589473684210526,0.1546176251180975,0.0,0.11244408296055305,0.4994944388270981,47,Alt. Rock
Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,10,1,3,104.97,0.6295546558704453,0.8768648345288623,0.8502630597787812,-6.31,0.032105263157894734,0.019376525478439235,0.006930091185410335,0.08773891825945505,0.8766430738119313,43,Alt. Rock
More Than This,"10,000 Maniacs",1992,245573,4,6,1,11,124.644,0.6305668016194332,0.773751647183113,0.7986867724429347,-8.8,0.02852631578947368,0.015561260603675306,0.005805471124620061,0.08062220414802765,0.8159757330637007,46,Alt. Rock
These Are Days,"10,000 Maniacs",1992,219893,4,3,1,2,108.498,0.618421052631579,0.8338175815592775,0.8244956294792659,-7.554,0.03694736842105263,0.021886568159204978,0.00020668693009118542,0.08123220821472142,0.801820020222447,52,Alt. Rock
Verdi Cries,"10,000 Maniacs",1992,260253,4,3,1,2,106.872,0.3714574898785425,0.025530324637354426,0.4567297733957496,-25.309,0.044315789473684204,0.9206826512878027,7.487335359675784e-05,0.07309882065880438,0.17997977755308392,34,Alt. Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,11,0,13,122.624,0.4129554655870445,0.790770328589693,0.8123990223290112,-8.138,0.10842105263157893,0.26104343478256503,0.00027355623100303955,0.7651484343228955,0.35085945399393326,56,Alt. Rock
Be Like That,3 Doors Down,2000,265906,4,7,1,6,95.982,0.49291497975708504,0.7026736248379846,0.8557935291437093,-6.043,0.025052631578947368,0.005300206124704945,5.035460992907802e-06,0.11854412362749084,0.30940343781597573,61,Alt. Rock
Duck And Run,3 Doors Down,2000,230600,4,4,0,24,87.931,0.5303643724696356,0.9199120874984471,0.8669373213471975,-5.505,0.04589473684210526,0.014958850360291527,7.142857142857143e-05,0.12057747051647011,0.8574317492416582,48,Alt. Rock
Kryptonite,3 Doors Down,2000,233933,4,11,0,13,99.005,0.5516194331983806,0.8658527465598987,0.8627325075603796,-5.708,0.030105263157894736,0.00666566934304151,1.1144883485309017e-05,0.15819438796258642,0.5490394337714865,80,Alt. Rock
Loser,3 Doors Down,2000,264800,4,6,0,14,147.913,0.49898785425101216,0.88086923015394,0.8479017357802726,-6.424,0.07294736842105262,0.010842380363835709,2.695035460992908e-05,0.21716144774298496,0.3933265925176947,61,Alt. Rock
One Light,3 Doors Down,2000,176346,4,11,1,10,170.087,0.3765182186234818,0.9769747251558035,0.9049463523758234,-3.67,0.06578947368421052,0.001173695957526062,0.003302938196555218,0.0480886539243595,0.4378159757330637,38,Alt. Rock
Here Without You,3 Doors Down,2003,238733,4,10,0,18,143.994,0.5637651821862348,0.533487909678454,0.8397613819959402,-6.817,0.026526315789473683,0.04939663594039753,0.0,0.1958113054087027,0.23559150657229527,76,Alt. Rock
When I'm Gone,3 Doors Down,2005,260333,4,7,1,6,148.095,0.5364372469635628,0.7687461526517658,0.8647417042959527,-5.611,0.029894736842105262,0.003864461711306939,0.0,0.09211061407076046,0.378159757330637,72,Alt. Rock
It's Not My Time,3 Doors Down,2008,241960,4,0,1,5,128.025,0.5384615384615385,0.9359296699987577,0.8815816728116327,-4.798,0.0651578947368421,0.0013343386890950697,8.480243161094225e-06,0.09516063440422935,0.31243680485338726,63,Alt. Rock
Let Me Go,3 Doors Down,2008,243053,4,1,0,15,91.972,0.48582995951417,0.86385054874736,0.8791789220763081,-4.914,0.04052631578947368,0.01817170499167168,0.0,0.1002440016266775,0.49646107178968657,55,Alt. Rock
Man in the Box,Alice In Chains,1990,285200,4,8,1,1,106.392,0.35931174089068824,0.7917714274959623,0.8242677824267782,-7.565,0.04768421052631579,0.0004508036654655276,0.0,0.08590890605937372,0.7664307381193125,77,Alt. Rock
Angry Chair (2022 Remaster),Alice In Chains,1992,287800,4,8,1,1,107.422,0.33299595141700405,0.9439384612489129,0.8620282530345085,-5.742,0.09610526315789474,0.04076208911856337,0.0,0.043106954046360314,0.15874620829120326,53,Alt. Rock
Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,4,6,1,11,97.528,0.36032388663967607,0.8188010979652364,0.8702928870292888,-5.343,0.035263157894736843,0.012248004265064526,0.00011955420466058765,0.11244408296055305,0.3933265925176947,66,Alt. Rock
Rooster (2022 Remaster),Alice In Chains,1992,374333,3,3,1,2,146.08,0.26619433198380565,0.562519777960267,0.8181987654832429,-7.858,0.028736842105263158,0.02901508937257969,0.0011955420466058765,0.10939406262708418,0.21536905965621841,72,Alt. Rock
Them Bones (2022 Remaster),Alice In Chains,1992,149466,1,9,1,8,165.223,0.16194331983805668,0.9549505492178765,0.8736898794481959,-5.179,0.07210526315789474,0.023091388645972537,4.062816616008106e-06,0.36559577063847093,0.339737108190091,70,Alt. Rock
Would? (2022 Remaster),Alice In Chains,1992,206773,4,6,1,11,100.127,0.3006072874493927,0.8428274717157023,0.8265048262148391,-7.457,0.05136842105263158,0.00028614486560729483,9.219858156028368e-06,0.0736071573810492,0.5925176946410515,75,Alt. Rock
I Stay Away,Alice In Chains,1994,254400,4,6,1,11,81.37,0.17611336032388664,0.7817604384332683,0.8346037532623556,-7.066,0.04273684210526315,0.04538056765117234,0.003505572441742655,0.07096380642537616,0.2790697674418605,62,Alt. Rock
No Excuses,Alice In Chains,1994,255573,4,3,1,2,117.454,0.5334008097165992,0.8388230760906247,0.8564149301959485,-6.013,0.034,0.020681747672437422,0.0006281661600810538,0.0585603904026027,0.7290192113245703,64,Alt. Rock
Nutshell,Alice In Chains,1994,259200,3,3,0,17,136.136,0.38866396761133604,0.5615186790539977,0.7726086416172999,-10.059,0.031157894736842107,0.3744973639531767,0.25633232016210744,0.0661854412362749,0.16076845298281092,72,Alt. Rock
Heaven Beside You,Alice In Chains,1996,327893,4,10,0,18,111.243,0.5576923076923077,0.7246978007759117,0.8341066324205643,-7.09,0.03368421052631579,0.004527112979029096,0.00016919959473150962,0.10532736884912566,0.5652173913043479,61,Alt. Rock
Brass Monkey,Beastie Boys,1986,157440,4,6,0,14,116.371,0.9251012145748988,0.5865461517107329,0.8062471519118439,-8.435,0.34736842105263155,0.002037150639709478,1.6008105369807497e-06,0.08824725498169987,0.6622851365015168,66,Alt. Rock
Fight For Your Right,Beastie Boys,1986,208653,5,8,1,1,133.615,0.5091093117408907,0.8588450542160129,0.8505530469364928,-6.296,0.0691578947368421,0.0075994052202863665,0.0023708206686930094,0.06903212688084587,0.4236602628918099,69,Alt. Rock
No Sleep Till Brooklyn,Beastie Boys,1986,246933,4,8,1,1,97.022,0.7206477732793521,0.6916615368690211,0.8120054683292597,-8.157,0.13473684210526315,0.12248907880429599,0.0,0.04209028060187068,0.750252780586451,70,Alt. Rock
Paul Revere,Beastie Boys,1986,220840,4,6,0,14,91.753,0.8937246963562753,0.5535098878038424,0.7068851236588094,-13.232,0.9936842105263157,0.016163670847059084,0.0,0.21919479463196423,0.5844287158746209,57,Alt. Rock
Hey Ladies,Beastie Boys,1989,227773,4,1,1,12,101.718,0.9605263157894737,0.7287021964009893,0.7603049007829653,-10.653,0.22210526315789472,0.2871478786625288,0.0,0.03466856445709638,0.8038422649140546,51,Alt. Rock
Shake Your Rump,Beastie Boys,1989,198253,4,1,1,12,103.066,0.8987854251012146,0.6996703281191764,0.7650275487799826,-10.425,0.1726315789473684,0.015962867432597824,0.00031003039513677815,0.1002440016266775,0.704752275025278,56,Alt. Rock
Sabotage,Beastie Boys,1994,178440,4,6,0,14,168.131,0.32793522267206476,0.9389329667175659,0.8290939972658354,-7.332,0.10736842105263157,0.03212754229672921,0.03252279635258359,0.08509556730378202,0.5490394337714865,74,Alt. Rock
Sure Shot,Beastie Boys,1994,199666,4,1,1,12,97.978,0.7004048582995951,0.7997802187461177,0.8168316831683169,-7.924,0.1726315789473684,0.38955762003777117,0.0,0.2934119560797072,0.5551061678463095,58,Alt. Rock
Intergalactic,Beastie Boys,1998,210106,4,2,1,7,105.971,0.7398785425101214,0.8818703290602095,0.846244666307635,-6.504,0.29578947368421055,0.010541175242143819,6.393110435663628e-05,0.05124034160227734,0.36501516683518703,52,Alt. Rock
Loser,Beck,1994,235000,4,2,1,7,85.387,0.6619433198380567,0.6115736243674681,0.7645097145697834,-10.45,0.12526315789473683,0.03383437131964992,0.00018034447821681864,0.3991459943066288,0.7947421638018201,70,Alt. Rock
